DATE,EXPORT
1/10/2017,2479.107
1/1/2018,2517.268
1/4/2018,2562.172
1/7/2018,2535.501
1/10/2018,2537.415
1/1/2019,2540.244
1/4/2019,2547.448
1/7/2019,2532.405
1/10/2019,2537.466
1/1/2020,2416.181
1/4/2020,1814.401
1/7/2020,2105.083
1/10/2020,2268.891
1/1/2021,2381.224
1/4/2021,2505.032
1/7/2021,2570.103
1/10/2021,2765.36
1/1/2022,2848.698
1/4/2022,3071.551
1/7/2022,3102.55
1/10/2022,3046.718
1/1/2023,3060.562
1/4/2023,2995.524
1/7/2023,3062.041
1/10/2023,3091.748
1/1/2024,3125.421
1/4/2024,3154.321
1/7/2024,3210.729
